param n:=674;
param p:=314;


param:  E : c  :=
    194    580       1
    194    581       1
    195    582       1
    195    583       1
    196    319       1
    196    584       1
    196    585       1
    196    586       1
    197    399       1
    198    587       1
    199    606       1
    200    604       1
    201    333       1
    201    588       1
    202    589       1
    203    343       1
    203    590       1
    204    376       1
    205    350       1
    205    388       1
    205    558       1
    205    559       1
    205    560       1
    205    561       1
    205    562       1
    205    591       1
    205    592       1
    206    445       1
    206    542       1
    207    375       1
    207    593       1
    207    594       1
    208    452       1
    208    595       1
    208    596       1
    208    597       1
    208    598       1
    209    431       1
    209    432       1
    210    497       1
    211    344       1
    212    490       1
    212    541       1
    212    574       1
    212    596       1
    212    598       1
    212    599       1
    212    600       1
    213    601       1
    213    602       1
    213    603       1
    214    398       1
    214    575       1
    214    576       1
    214    597       1
    214    598       1
    215    556       1
    216    470       1
    216    471       1
    217    366       1
    217    459       1
    217    460       1
    217    461       1
    217    580       1
    218    604       1
    219    605       1
    219    606       1
    220    623       1
    221    607       1
    222    465       1
    222    579       1
    222    581       1
    223    386       1
    224    466       1
    225    412       1
    226    608       1
    227    351       1
    227    548       1
    228    609       1
    229    325       1
    229    610       1
    230    611       1
    231    351       1
    231    548       1
    232    657       1
    233    415       1
    234    594       1
    234    612       1
    234    613       1
    234    614       1
    234    615       1
    234    616       1
    234    617       1
    234    618       1
    235    382       1
    235    383       1
    235    655       1
    236    397       1
    237    533       1
    238    400       1
    238    619       1
    239    328       1
    239    409       1
    239    410       1
    239    411       1
    240    621       1
    241    337       1
    242    620       1
    243    405       1
    244    326       1
    244    327       1
    245    622       1
    246    387       1
    247    470       1
    247    471       1
    248    516       1
    249    623       1
    250    608       1
    251    624       1
    252    560       1
    252    592       1
    253    625       1
    254    376       1
    254    405       1
    255    503       1
    255    504       1
    255    505       1
    255    506       1
    256    627       1
    257    323       1
    258    365       1
    258    547       1
    259    424       1
    259    507       1
    259    628       1
    260    351       1
    261    629       1
    262    346       1
    263    364       1
    263    529       1
    263    630       1
    264    561       1
    265    515       1
    265    517       1
    265    626       1
    266    453       1
    266    530       1
    266    631       1
    266    632       1
    267    351       1
    268    608       1
    269    362       1
    269    633       1
    270    634       1
    271    635       1
    272    498       1
    273    636       1
    273    637       1
    273    638       1
    273    639       1
    274    640       1
    275    641       1
    276    642       1
    277    620       1
    278    316       1
    278    317       1
    279    345       1
    280    534       1
    281    643       1
    282    644       1
    283    645       1
    284    646       1
    284    647       1
    285    328       1
    286    648       1
    287    404       1
    288    472       1
    288    649       1
    288    650       1
    288    651       1
    289    650       1
    289    651       1
    290    439       1
    291    491       1
    291    582       1
    291    583       1
    291    625       1
    292    652       1
    293    653       1
    294    655       1
    295    561       1
    295    562       1
    295    656       1
    296    657       1
    297    658       1
    298    342       1
    298    659       1
    298    660       1
    298    661       1
    299    535       1
    300    384       1
    301    433       1
    301    611       1
    301    662       1
    301    663       1
    301    664       1
    302    385       1
    303    630       1
    304    397       1
    305    589       1
    306    467       1
    307    322       1
    308    467       1
    308    468       1
    308    665       1
    308    666       1
    308    667       1
    309    668       1
    310    420       1
    310    468       1
    310    619       1
    310    667       1
    310    669       1
    310    670       1
    310    671       1
    310    672       1
    310    673       1
    310    674       1
    311    518       1
    312    578       1
    313    322       1
    314    450       1
    314    492       1
    314    493       1;

