      85      191 1 

      85      212 1 

      85      219 1 

      85      232 1 

      85      233 1 

      86      152 1 

      86      154 1 

      87      195 1 

      87      206 1 

      87      230 1 

      87      232 1 

      88      119 1 

      88      189 1 

      88      192 1 

      88      204 1 

      89      225 1 

      89      227 1 

      89      234 1 

      89      235 1 

      89      236 1 

      90      234 1 

      90      237 1 

      90      238 1 

      91      231 1 

      91      235 1 

      91      238 1 

      92      233 1 

      93      111 1 

      93      124 1 

      93      144 1 

      93      239 1 

      94      224 1 

      95      212 1 

      95      219 1 

      95      234 1 

      95      240 1 

      96      189 1 

      96      221 1 

      96      238 1 

      96      241 1 

      98      234 1 

      99      221 1 

      99      222 1 

      99      229 1 

      99      242 1 

      99      243 1 

     100      119 1 

     100      226 1 

     101      189 1 

     101      223 1 

     101      244 1 

     102      205 1 

     102      210 1 

     102      212 1 

     102      220 1 

     102      237 1 

     103      111 1 

     103      124 1 

     103      144 1 

     103      239 1 

     104      111 1 

     104      124 1 

     104      144 1 

     104      239 1 

     105      222 1 

     105      228 1 

     105      241 1 

     105      243 1 

     106      236 1 

     107      171 1 

     108      167 1 

     108      179 1 

     108      244 1 

      66      240 1 

      89      242 1;
